N_CLUSTERS,VAL_GATE_ACCURACY,TEST_GATE_ACCURACY_DIAGNOSTIC_ONLY,VAL_MEAN_CONFIDENCE,TEST_MEAN_CONFIDENCE,N_TRAIN_POSITIONS
2,0.9731051344743277,0.965,0.92209636254066,0.9371183266517034,1839
3,0.9339853300733496,0.9425,0.8656197499329948,0.8819647025348241,1839
4,0.9315403422982885,0.935,0.8391550787181999,0.866795706930794,1839
5,0.8973105134474327,0.9025,0.8048389521211773,0.8155432588426091,1839
6,0.8973105134474327,0.9075,0.8035206585586858,0.8246201773945843,1839
7,0.882640586797066,0.9025,0.7683879147256018,0.7969754924310274,1839
8,0.8459657701711492,0.83,0.7253451600516371,0.7384117823786457,1839
