model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,n_neighbors,distance,weights,coverage,gate_accuracy_diagnostic
KNN,centralized_by_predicted_cluster,test,8.0,3.608766944666096,2.934944931011039,2.420708404554249,3.859719552427113,6.952322828177859,2147,11,manhattan,distance,1.0,0.7433628318584071
KNN,centralized_global,test,,3.509079562657568,2.9601080715552706,2.5665134116626027,4.033163695441646,6.500568977028831,2147,11,manhattan,distance,,
KNN,federated_by_predicted_cluster,test,8.0,3.6087707930668445,2.934952851299378,2.420708404554249,3.8597195524271157,6.952322828177858,2147,11,manhattan,distance,1.0,0.7433628318584071
KNN,federated_global_exact_distributed_knn,test,,3.509079562657568,2.9601080715552706,2.5665134116626023,4.033163695441645,6.500568977028831,2147,11,manhattan,distance,,
KNN,centralized_by_predicted_cluster,val,8.0,3.3364026974605565,2.7257717013920915,2.217245318517377,3.5057170743329276,6.831133504517452,1012,11,manhattan,distance,1.0,0.8063241106719368
KNN,centralized_global,val,,3.5990065205202852,2.974044305894796,2.594824972804945,3.9324284809191212,6.759430160353411,1012,11,manhattan,distance,,
KNN,federated_by_predicted_cluster,val,8.0,3.3364026974605565,2.7257717013920915,2.217245318517377,3.505717074332928,6.831133504517452,1012,11,manhattan,distance,1.0,0.8063241106719368
KNN,federated_global_exact_distributed_knn,val,,3.5990065205202852,2.9740443058947963,2.594824972804943,3.9324284809191266,6.759430160353411,1012,11,manhattan,distance,,
