model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,selected_candidate_id,selected_from_n_candidates,selection_metric,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed,coverage,gate_accuracy_diagnostic
MLP,centralized_by_predicted_cluster,test,3.0,15.13998858778954,10.408061595387387,7.512839589168183,11.945951698057877,27.764527029040178,67,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,1.0,0.9552238805970149
MLP,centralized_global,test,,14.5391510294667,11.112956449677696,7.244633722714584,15.376082724638596,28.092196272567147,67,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,,
MLP,federated_by_predicted_cluster_fedavg,test,4.0,12.40207460918261,10.560374283410255,9.547913303794243,14.349005855856714,22.80968998823447,67,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,1.0,0.9850746268656716
MLP,federated_global_fedavg,test,,17.739318020169062,16.382614848595352,15.15064860394636,19.37507140000556,28.222945811885104,67,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,,
MLP,centralized_by_predicted_cluster,val,3.0,8.02857010945744,6.488794434304707,5.605017598611116,7.8424325897039875,19.866155826125716,363,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,1.0,1.0
MLP,centralized_global,val,,7.79206422720036,6.400165035151973,5.053886538978682,8.32132977846533,16.194970312259517,363,central_05,8,val_rmse_2d_m,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,,
MLP,federated_by_predicted_cluster_fedavg,val,4.0,8.368440102437889,6.89941240200678,5.79941036280835,7.944354195819418,20.52506744293231,363,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,1.0,1.0
MLP,federated_global_fedavg,val,,11.689717394228243,10.055193126645841,8.9319560243473,11.956907276489563,22.63507663074367,363,federated_02,8,val_rmse_2d_m,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,,
