model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,n_neighbors,distance,weights,coverage,gate_accuracy_diagnostic
KNN,centralized_by_predicted_cluster,test,6.0,17.25074710340168,11.979249393126684,8.070303826999798,16.53208505394413,28.931471371295572,67,9,manhattan,distance,1.0,0.8656716417910447
KNN,centralized_global,test,,27.162477649195242,17.417078280625233,8.768560835154293,20.34281020471994,68.18320290199934,67,9,manhattan,distance,,
KNN,federated_by_predicted_cluster,test,6.0,17.266843759945065,12.005614130769168,8.070303826999798,16.53208505377387,28.9314713711589,67,9,manhattan,distance,1.0,0.8656716417910447
KNN,federated_global_exact_distributed_knn,test,,27.162477649177582,17.417078280608887,8.768560835154293,20.34281020471994,68.18320290194353,67,9,manhattan,distance,,
KNN,centralized_by_predicted_cluster,val,6.0,8.548883997727323,6.883295006784277,5.62356745706194,8.424181359814387,19.16574989955285,363,9,manhattan,distance,1.0,0.9944903581267218
KNN,centralized_global,val,,9.248247782948606,7.305068184437493,5.919893115362307,8.5908691420325,21.710618449794556,363,9,manhattan,distance,,
KNN,federated_by_predicted_cluster,val,6.0,8.554357977394027,6.88576579770866,5.623567456757434,8.424181359282525,19.170151754134928,363,9,manhattan,distance,1.0,0.9944903581267218
KNN,federated_global_exact_distributed_knn,val,,9.245871934232284,7.3038713508337985,5.919893115361449,8.590869142115135,21.71061845018673,363,9,manhattan,distance,,
