model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,n_neighbors,distance,weights,coverage,gate_accuracy_diagnostic
KNN,centralized_by_predicted_cluster,test,10.0,3.221544350052015,2.3381050750070904,1.7910044667728193,3.0030006660004074,7.24975151298293,860,9,manhattan,distance,1.0,0.9209302325581395
KNN,centralized_global,test,,3.35451603547617,2.4218074985810407,1.7910044667728193,3.0030006660004074,7.581659359357355,860,9,manhattan,distance,,
KNN,federated_by_predicted_cluster,test,10.0,3.2215443500520164,2.338105075007088,1.7910044667727059,3.003000666000635,7.249751512982827,860,9,manhattan,distance,1.0,0.9209302325581395
KNN,federated_global_exact_distributed_knn,test,,3.354516035476164,2.4218074985810345,1.7910044667727059,3.003000666000635,7.581659359357209,860,9,manhattan,distance,,
KNN,centralized_by_predicted_cluster,val,10.0,2.4540215617256247,2.0312527421203286,1.6142701119717857,2.4616821419347246,4.507189493086421,1710,9,manhattan,distance,1.0,0.9432748538011696
KNN,centralized_global,val,,2.6823729527242137,2.1573265481419286,1.6491370040270146,2.50411844559824,5.999999999999773,1710,9,manhattan,distance,,
KNN,federated_by_predicted_cluster,val,10.0,2.4540215617256176,2.031252742120321,1.6142701119717286,2.4616821419347246,4.507189493086575,1710,9,manhattan,distance,1.0,0.9432748538011696
KNN,federated_global_exact_distributed_knn,val,,2.682372952724209,2.1573265481419206,1.6491370040268858,2.504118445598213,5.999999999999659,1710,9,manhattan,distance,,
