N_CLUSTERS,VAL_GATE_ACCURACY,TEST_GATE_ACCURACY_DIAGNOSTIC_ONLY,VAL_MEAN_CONFIDENCE,TEST_MEAN_CONFIDENCE,N_TRAIN_POSITIONS
2,0.9972451790633609,0.9104477611940298,0.987727386591306,0.9163542148134655,106
3,1.0,0.9552238805970149,0.9861839086948384,0.868655405416454,106
4,1.0,0.9850746268656716,0.9795767388261153,0.8699360370241737,106
5,1.0,0.9850746268656716,0.9678456007829861,0.8715657105643861,106
6,0.9944903581267218,0.8656716417910447,0.9177257181879088,0.7923129257582764,106
7,0.9862258953168044,0.7313432835820896,0.9126524220570763,0.7701083161747181,106
8,0.9669421487603306,0.7014925373134329,0.9108694352448278,0.7409036490986538,106
9,0.9449035812672176,0.6268656716417911,0.8392601801878973,0.647129051590788,106
10,0.768595041322314,0.6716417910447762,0.7330646121225854,0.6077917296427308,106
