N_CLUSTERS,VAL_GATE_ACCURACY,TEST_GATE_ACCURACY_DIAGNOSTIC_ONLY,VAL_MEAN_CONFIDENCE,TEST_MEAN_CONFIDENCE,N_TRAIN_POSITIONS
2,0.9752964426877471,0.976245924545878,0.918497810213191,0.9101764729650171,1148
3,0.9288537549407114,0.9245458779692595,0.817010064267539,0.8195105066669209,1148
4,0.9110671936758893,0.9133674895202608,0.7730010163738519,0.771011187395541,1148
5,0.857707509881423,0.8341872380065207,0.6924394886688913,0.6824162978416582,1148
6,0.8092885375494071,0.8053097345132744,0.6464488855062426,0.62150340822609,1148
7,0.8132411067193676,0.7908709827666511,0.6194153991748979,0.5940046663252536,1148
8,0.8063241106719368,0.7433628318584071,0.5740064034129235,0.5425551049540933,1148
9,0.7361660079051383,0.7428970656730322,0.5330601181882266,0.5211580603377485,1148
10,0.7282608695652174,0.7177456916627852,0.5265782290891277,0.5053118454822176,1148
