model,modality,split,n_clusters,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,selected_candidate_id,selected_from_n_candidates,selection_metric,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed,coverage,gate_accuracy_diagnostic
MLP,centralized_by_predicted_cluster,test,7.0,7.655304079419711,5.470952453342354,4.2251489318796756,7.198845661475929,12.822618410117181,400,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,1.0,0.9025
MLP,centralized_global,test,,8.073273892924238,6.026108754145817,4.8055964337901855,7.453639894427292,15.258964307195916,400,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,,
MLP,federated_by_predicted_cluster_fedavg,test,5.0,9.217954075436634,6.715470960638761,5.2634858589239455,7.9815671135517166,17.125372976707695,400,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,1.0,0.9025
MLP,federated_global_fedavg,test,,9.217141922524082,6.991611437153762,5.5987412539367,8.502515604034134,16.810766124269584,400,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,,
MLP,centralized_by_predicted_cluster,val,7.0,6.122194026996522,4.770920721086523,4.012370046293809,6.1117860269936966,10.956756019558421,409,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,1.0,0.882640586797066
MLP,centralized_global,val,,6.807014578479644,5.211442944399196,4.11392765026969,6.537587402753037,11.910445230351284,409,central_06,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,,
MLP,federated_by_predicted_cluster_fedavg,val,5.0,7.642707787016798,5.7039277606432535,4.40987341974227,6.907552581038603,13.95963774744455,409,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,1.0,0.8973105134474327
MLP,federated_global_fedavg,val,,8.615727215360142,6.23892542301772,4.887410470215588,7.483522000759459,16.079622239673196,409,federated_04,8,val_rmse_2d_m,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,,
