N_CLUSTERS,VAL_GATE_ACCURACY,TEST_GATE_ACCURACY_DIAGNOSTIC_ONLY,VAL_MEAN_CONFIDENCE,TEST_MEAN_CONFIDENCE,N_TRAIN_POSITIONS
2,0.9842105263157894,0.9895348837209302,0.9776582253669329,0.9743329325322483,322
3,0.9842105263157894,0.9744186046511628,0.9529795065947376,0.9413218297618354,322
4,0.9713450292397661,0.9744186046511628,0.9337072381706453,0.925512930763028,322
5,0.9555555555555556,0.9325581395348838,0.9223128088972787,0.9005951759522063,322
6,0.939766081871345,0.9546511627906977,0.9054593939271769,0.8755923581961479,322
7,0.9491228070175438,0.9302325581395349,0.8736912431625048,0.854439590578092,322
8,0.9333333333333333,0.9651162790697675,0.8686779475041221,0.8417295614121645,322
9,0.952046783625731,0.9453488372093023,0.8408111732925995,0.8334320060949556,322
10,0.9432748538011696,0.9209302325581395,0.8297291601168132,0.8313273736002482,322
