N_CLUSTERS,VAL_GATE_ACCURACY,TEST_GATE_ACCURACY_DIAGNOSTIC_ONLY,VAL_MEAN_CONFIDENCE,TEST_MEAN_CONFIDENCE,N_TRAIN_POSITIONS
2,0.9824561403508771,0.9883720930232558,0.9740201369768058,0.9619118316561036,322
3,0.9824561403508771,0.9883720930232558,0.945176679391144,0.9284635435981048,322
4,0.9298245614035088,0.9767441860465116,0.9149385497473487,0.8934815118333624,322
5,0.9473684210526315,0.9534883720930233,0.907215456913657,0.8599831692543899,322
6,0.9649122807017544,0.9418604651162791,0.8761161085039241,0.8268459510344458,322
7,0.9473684210526315,0.9418604651162791,0.8280438079263691,0.8070294840201712,322
8,0.9649122807017544,0.9418604651162791,0.8408860919583311,0.7843454406289968,322
9,0.9649122807017544,0.9186046511627907,0.809186588976576,0.7611974030237336,322
10,0.9649122807017544,0.9186046511627907,0.7841109235710321,0.7524092291994287,322
